code	name	price	type	ref	cs
2445	Шапка Повязка	2790	99	http://shapka-moda.ru/images/product/s/11562c2bbe.jpg	835B318E8F2F5F799E6820DBF54EBB82
2446	Шапка Повязка	2790	99	http://shapka-moda.ru/images/product/s/11563998d2.jpg	7ECD1BFD21E5DD8045D927B954FD2ADA
2447	Шапка Повязка	2790	99	http://shapka-moda.ru/images/product/s/115642dd47.jpg	2DA44190290FE55D8AF72473AE1D1407
2448	Варежки	3590	99	http://shapka-moda.ru/images/product/s/1156527eb3.jpg	BB134CE60491C2A7A2BA31C43D6CD9E5
2449	Варежки	3590	99	http://shapka-moda.ru/images/product/s/11566b7a3c.jpg	767EC761ABF92BB4D10B736A02414985
2450	Варежки	3590	99	http://shapka-moda.ru/images/product/s/11567189ae.jpg	477FB6CA8A6CF4907A24A1EBE4D63C15
2451	Варежки	3590	99	http://shapka-moda.ru/images/product/s/115684e323.jpg	14F380923DD2F544FC75EB2B7832371D
2452	Варежки	3590	99	http://shapka-moda.ru/images/product/s/1156953b9f.jpg	0178D2404E48C2004D6D0C21588240EC
2453	Варежки	3590	99	http://shapka-moda.ru/images/product/s/11570dd43a.jpg	E15473C0F65573764598BE692B39E43E
2454	Варежки	3590	99	http://shapka-moda.ru/images/product/s/115710f432.jpg	12DA10436B874B716D7E4E008F8FD670
2455	Варежки	3590	99	http://shapka-moda.ru/images/product/s/11572f0aad.jpg	C2247A41AF643E137437A847A812F691
2456	Варежки	3590	99	http://shapka-moda.ru/images/product/s/11573c6efa.jpg	1138A7EAE44A3E24006F1B6B43A587DA
2457	Варежки	3590	99	http://shapka-moda.ru/images/product/s/1157470dc6.jpg	587D1DE57179CC2FE4253D85D78DD83D
2458	Шапка Зимушка	7190	99	http://shapka-moda.ru/images/product/s/11575af3b3.jpg	EB1D5D7F36319A09186A02A5903816C1
2459	Шапка Морозко	9290	99	http://shapka-moda.ru/images/product/s/115766f6ef.jpg	057B0D4713A4E154B56BEFB3A9946A9D
2460	Шапка Морозко	9290	99	http://shapka-moda.ru/images/product/s/1157748cda.jpg	6FA1062BEF7FA664CB242F98C1C0DCF3
2461	Шапка Кубанка	9390	99	http://shapka-moda.ru/images/product/s/11578e51d9.jpg	08E7CAD5812CE9C4BC99DF2DD608F6F0
2462	Шапка Кубанка	9390	99	http://shapka-moda.ru/images/product/s/11579e12e1.jpg	0CAD6254B05A7A536C0FFE475BAE11F9
2463	Шапка Кубанка	9390	99	http://shapka-moda.ru/images/product/s/11580333e8.jpg	0437074B61E7D280E912698AE7839F1E
2464	Шапка Буратино	9390	99	http://shapka-moda.ru/images/product/s/115812d083.jpg	9F8BA77EAB0B94D4A91201ED199FE6A7
